product_name,description,plant_part,industry,benefits,source_url
Hemp Concrete Blocks,Pre-cast hempcrete building blocks for rapid construction,stem,Construction,"Fast installation, Carbon sequestration, Thermal mass",https://example.com/hemp-blocks
Hemp Battery Cells,High-capacity energy storage using hemp-derived carbon,fiber,Energy,"Fast charging, Sustainable, Long cycle life",https://example.com/hemp-battery
Hemp Graphene,Advanced nanomaterial derived from hemp fiber,fiber,Nanotechnology,"Conductive, Strong, Lightweight",https://example.com/hemp-graphene
Hemp Water Filter,Activated carbon filter made from hemp stalks,stem,Water Treatment,"Chemical removal, Sustainable, Biodegradable",https://example.com/hemp-filter
Hemp Supercapacitor,Energy storage device using hemp-based electrodes,fiber,Electronics,"High power density, Eco-friendly, Cost-effective",https://example.com/hemp-capacitor
Hemp 3D Printing Resin,Bio-based resin for additive manufacturing,oil,Manufacturing,"Biodegradable, Low VOC, Strong prints",https://example.com/hemp-resin
Hemp Acoustic Panels,Sound absorption panels for studios and offices,fiber,Construction,"Excellent NRC rating, Fire resistant, Sustainable",https://example.com/hemp-acoustic
Hemp Pet Bedding,Absorbent bedding material for animals,hurds,Pet Products,"Super absorbent, Odor control, Compostable",https://example.com/hemp-bedding
Hemp Mulch,Garden mulch from processed hemp stalks,stem,Agriculture,"Weed suppression, Moisture retention, Soil enrichment",https://example.com/hemp-mulch
Hemp Composite Decking,Weather-resistant outdoor decking material,fiber,Construction,"Rot resistant, No splinters, 25-year lifespan",https://example.com/hemp-decking
Hemp Biofoam,Lightweight foam material for packaging,hurds,Packaging,"Shock absorption, Compostable, Moldable",https://example.com/hemp-foam
Hemp Leather Alternative,Vegan leather made from hemp fibers,fiber,Fashion,"Cruelty-free, Durable, Breathable",https://example.com/hemp-leather
Hemp Air Filter,Industrial air filtration using hemp fibers,fiber,Industrial,"High efficiency, Antimicrobial, Renewable",https://example.com/hemp-air-filter
Hemp Enzyme Cleaner,Biodegradable cleaning product with hemp enzymes,whole plant,Cleaning Products,"Non-toxic, Effective, Plant-based",https://example.com/hemp-cleaner
Hemp Microgreens,Nutrient-dense young hemp shoots for culinary use,sprouts,Food & Nutrition,"High protein, Omega-3, Vitamins",https://example.com/hemp-microgreens
Hemp Root Tea,Herbal tea made from hemp roots,roots,Beverages,"Anti-inflammatory, Caffeine-free, Relaxing",https://example.com/hemp-root-tea
Hemp Sunscreen,Natural sun protection with hemp seed oil,seed,Cosmetics,"SPF 30, Moisturizing, Non-comedogenic",https://example.com/hemp-sunscreen
Hemp Deodorant,Natural deodorant with hemp oil and extracts,seed,Personal Care,"Aluminum-free, Antibacterial, Long-lasting",https://example.com/hemp-deodorant
Hemp Wound Dressing,Medical dressing made from hemp fibers,fiber,Medical,"Antimicrobial, Breathable, Biodegradable",https://example.com/hemp-dressing
Hemp Carbon Credits,Verified carbon sequestration from hemp cultivation,whole plant,Carbon Markets,"CO2 removal, Certified, Tradeable",https://example.com/hemp-carbon
Hemp Geotextile,Erosion control fabric for landscaping,fiber,Environmental,"Biodegradable, Strong, Permeable",https://example.com/hemp-geotextile
Hemp Phone Case,Protective case made from hemp bioplastic,fiber,Consumer Electronics,"Drop protection, Compostable, Stylish",https://example.com/hemp-case
Hemp Skateboard,Deck made from compressed hemp fibers,fiber,Sports Equipment,"Flexible, Durable, Sustainable",https://example.com/hemp-skateboard
Hemp Surfboard,Eco-friendly surfboard with hemp cloth,fiber,Sports Equipment,"Lightweight, Strong, Reduced carbon footprint",https://example.com/hemp-surfboard
Hemp Guitar Pick,Musical accessory made from hemp plastic,fiber,Music,"Durable, Good grip, Unique tone",https://example.com/hemp-pick
